firstName,lastName,teamName,source,GP,MIN_avg,PTS_avg,REB_avg,AST_avg,STL_avg,BLK_avg,TO_avg,FG2_pct,FG3_pct,FT_pct,EVAL_avg
TRENT,FORREST,Baskonia Vitoria-Gasteiz,EuroLeague,34.0,24.780882352941177,9.7,2.8,4.7,0.8,0.2,1.9,0.522,0.32799999999999996,0.818,11.6
CEDI,OSMAN,Panathinaikos AKTOR Athens,EuroLeague,39.0,19.82264957264957,9.6,2.7,0.7,0.5,0.2,0.6,0.552,0.377,0.7909999999999999,8.5
MATTEO,SPAGNOLO,ALBA Berlin,EuroLeague,27.0,20.73827160493827,9.6,2.0,3.8,0.5,0.0,2.1,0.44799999999999995,0.261,0.797,8.9
MARTIN,HERMANNSSON,ALBA Berlin,EuroLeague,24.0,21.780555555555555,9.5,1.6,5.7,0.6,0.0,2.2,0.5,0.29,0.81,10.8
VINCENT,POIRIER,Anadolu Efes Istanbul,EuroLeague,39.0,21.361538461538466,9.5,5.0,1.2,0.6,1.3,0.9,0.659,0.0,0.7040000000000001,13.4
DARIUS,THOMPSON,Anadolu Efes Istanbul,EuroLeague,39.0,26.32991452991453,9.5,2.0,4.5,0.9,0.4,1.2,0.556,0.441,0.792,11.7
JORDAN,LOYD,AS Monaco;Maccabi Rapyd Tel Aviv,EuroLeague,35.0,21.19761904761905,9.4,2.9,1.7,0.6,0.1,1.1,0.521,0.369,0.897,9.0
NEMANJA,NEDOVIC,Crvena Zvezda Meridianbet Belgrade,EuroLeague,27.0,18.57469135802469,9.2,1.4,2.9,0.5,0.1,1.3,0.48100000000000004,0.391,0.812,8.3
KOSTAS,SLOUKAS,Panathinaikos AKTOR Athens,EuroLeague,39.0,21.746153846153845,9.1,2.0,4.8,0.8,0.1,1.6,0.45399999999999996,0.366,0.941,12.2
NIKOLA,KALINIC,Crvena Zvezda Meridianbet Belgrade,EuroLeague,35.0,27.185714285714287,9.0,4.1,2.6,0.8,0.1,1.7,0.5770000000000001,0.435,0.675,11.6
NEAL,SAKO,LDLC ASVEL Villeurbanne,EuroLeague,33.0,21.975252525252525,9.0,6.2,0.8,0.8,0.5,0.9,0.6809999999999999,0.0,0.57,12.4
JAN,VESELY,FC Barcelona,EuroLeague,24.0,21.17361111111111,9.0,3.6,1.9,1.1,0.5,0.9,0.5589999999999999,0.5,0.7609999999999999,11.6
TAMIR,BLATT,Maccabi Rapyd Tel Aviv,EuroLeague,26.0,24.183333333333334,8.9,2.4,6.7,0.5,0.0,2.9,0.45899999999999996,0.35600000000000004,0.95,11.7
RODRIGUE,BEAUBOIS,Anadolu Efes Istanbul,EuroLeague,33.0,18.870202020202026,8.9,1.4,1.6,0.7,0.3,0.5,0.5760000000000001,0.45899999999999996,0.8640000000000001,8.1
DAN,OTURU,Anadolu Efes Istanbul,EuroLeague,38.0,16.58815789473684,8.8,4.2,0.5,0.5,1.0,1.1,0.716,0.0,0.685,11.1
DONTA,HALL,Baskonia Vitoria-Gasteiz,EuroLeague,34.0,21.501470588235293,8.7,5.4,0.9,0.5,1.1,0.7,0.7140000000000001,0.0,0.691,14.4
NIGEL,WILLIAMS-GOSS,Olympiacos Piraeus,EuroLeague,35.0,22.90619047619048,8.6,2.1,3.4,0.7,0.1,1.8,0.478,0.35700000000000004,0.828,8.6
JERIAN,GRANT,Panathinaikos AKTOR Athens,EuroLeague,41.0,26.865040650406502,8.6,2.1,3.2,0.9,0.1,0.8,0.55,0.43,0.847,10.6
NICCOLO,MANNION,EA7 Emporio Armani Milan,EuroLeague,27.0,22.02469135802469,8.5,1.4,4.0,0.7,0.0,2.3,0.573,0.33,0.82,7.8
DAVID,MCCORMACK,ALBA Berlin;EA7 Emporio Armani Milan,EuroLeague,28.0,16.336309523809526,8.4,4.6,0.6,0.8,0.1,1.7,0.604,0.0,0.725,9.6
